sample	KastmanEK_2016__CSB962	KastmanEK_2016__CSB907	KastmanEK_2016__CSB888	KastmanEK_2016__CSB875	KastmanEK_2016__CSB870	KastmanEK_2016__CSB739	KastmanEK_2016__CSB737	KastmanEK_2016__CSB734	KastmanEK_2016__CSB729	KastmanEK_2016__CSB726	KastmanEK_2016__CSB720	KastmanEK_2016__CSB694	KastmanEK_2016__CSB619	KastmanEK_2016__CSB600	KastmanEK_2016__CSB409	KastmanEK_2016__CSB387	KastmanEK_2016__CSB341	KastmanEK_2016__CSB307
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy	dairy
type	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese	cheese
subtype	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind	cheese_rind
country	USA	FRA	ITA	FRA	ESP	USA	USA	USA	USA	USA	USA	FRA	USA	USA	FRA	GBR	ESP	FRA
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Salinicoccus|s__Salinicoccus_SGB96907|t__SGB96907	0.0	0.02107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02281	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_edaphicus|t__SGB7849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis|t__SGB7865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04342	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	16.79567	48.78815	46.72761	9.57308	16.03328	31.37674	16.81765	30.05196	9.78318	0.93908	92.70369	13.24598	49.64197	15.46966	9.0078	34.40846	18.32116	18.16096
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.0	0.0	0.16065	0.0	32.22403	0.33529	0.0	0.84971	0.0	63.20827	0.00153	0.0	0.0	0.0	0.41823	0.0	0.0	0.5491
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp_GSSP0090|t__SGB82653	0.0	0.0	0.0	0.0	0.00152	0.0	0.0	0.0	0.0	0.00785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_succinus|t__SGB7842	0.0	0.0	0.23335	0.0	35.35302	0.0	0.0	0.0	0.0	0.00665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847	0.0	0.0	0.0	0.0	0.0	0.22614	0.0	0.01935	0.0	32.31951	0.0	0.0	0.0	0.0	1.17003	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Alkalibacterium|s__Alkalibacterium_SGB96934|t__SGB96934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33876	0.0	0.0	6.16747	0.0	0.0	0.0
