sample	LimaC_2020__SRR9640343	LimaC_2020__SRR9640344	LimaC_2020__SRR9640345	LimaC_2020__SRR9640346	LimaC_2020__SRR9640347	LimaC_2020__SRR9640348	LimaC_2020__SRR9640350	LimaC_2020__SRR9640351	LimaC_2020__SRR9640352	LimaC_2020__SRR9640353	LimaC_2020__SRR9640354	LimaC_2020__SRR9640355	LimaC_2020__SRR9640356	LimaC_2020__SRR9646966
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_diospyri|t__SGB89227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00064	0.0	0.0	0.0	0.00266	0.0	0.00347
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_saanichensis|t__SGB31094	8.03975	0.57284	0.04301	12.04771	0.248	0.02846	0.0078	0.19179	0.07809	4.42966	2.08413	3.40758	2.31498	0.14371
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_sphaericus|t__SGB89212	2.43301	0.17758	0.03891	0.88341	0.03614	0.00832	0.0	0.05369	0.22611	1.57191	0.65043	1.03584	1.32321	0.02793
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Novacetimonas|s__Novacetimonas_cocois|t__SGB208091	0.0	0.0	0.0	0.0	0.00817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00803
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_wancherniae|t__SGB89207	0.01369	0.0	0.0	0.00475	0.0	0.0	0.0	0.0	0.0	0.00261	0.0	0.00135	0.00368	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_oxydans|t__SGB1165	0.27237	0.12139	0.00686	0.02963	0.0103	0.0049	0.0	0.25436	0.08293	0.55317	0.13937	1.74812	0.35591	0.00669
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_SGB213673|t__SGB213673	0.35199	0.02444	0.0	0.0	0.0051	0.0	0.0	0.01485	0.00227	0.10722	0.0	0.06163	0.00311	0.00436
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_kondonii|t__SGB30476	0.16653	0.01674	0.00481	1.04854	0.00356	0.00307	0.0	0.00312	0.04672	0.24149	0.49228	0.24275	0.89399	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Komagataeibacter|s__Komagataeibacter_xylinus|t__SGB208090	0.02803	0.00177	0.0	0.0	0.0	0.0	0.0	0.00605	0.0	0.0	0.0	0.03056	0.0	0.00476
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_ptyseos|t__SGB10295	14.96382	0.86537	0.06004	16.865	0.30709	0.04079	0.00821	0.54643	0.12055	5.78784	2.56141	6.07309	2.48778	0.14537
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_cadivus|t__SGB89208	0.0	0.0	0.0	0.00464	0.0	0.0	0.0	0.0	0.0	0.00356	0.01235	0.0	0.0	0.0
