	PothakosV_2020	PothakosV_2020	PothakosV_2020	PothakosV_2020	PothakosV_2020	PothakosV_2020
sample	PothakosV_2020__ERS2068298	PothakosV_2020__ERS2068299	PothakosV_2020__ERS2068300	PothakosV_2020__ERS2068301	PothakosV_2020__ERS2068302	PothakosV_2020__ERS2068303
macrocategory	food	food	food	food	food	food
category	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages	fermented_beverages
type	coffee	coffee	coffee	coffee	coffee	coffee
subtype	coffee_arabica	coffee_arabica	coffee_arabica	coffee_arabica	coffee_arabica	coffee_arabica
country	ECU	ECU	ECU	ECU	ECU	ECU
source	public	public	public	public	public	public
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_extremorientalis|t__SGB12148	0.0	0.02173	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_sp_BIGb0359|t__SGB31151	0.07874	1.18991	0.15386	0.13516	0.08119	0.02872
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_soli|t__SGB10126	0.0	0.0157	0.02659	0.04478	0.05174	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Rosenbergiella|s__Rosenbergiella_collisarenosi|t__SGB81787	0.0	0.00352	0.0	0.00627	0.00585	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_parafulva|t__SGB33090	0.72407	1.16387	0.36832	0.21764	0.20034	0.02644
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10181	0.63121	0.81006	0.37316	0.23472	0.15292	0.03989
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_vagans|t__SGB10186	0.45329	1.35446	0.72599	0.15583	0.34443	0.02448
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_sp_RIT_PI_f|t__SGB7953	0.29366	0.36456	0.20062	0.11101	0.08084	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rwandensis|t__SGB10180	0.16187	0.26482	0.15345	0.11468	0.09966	0.01904
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Candidatus_Pantoea_multigeneris|t__SGB31219	0.07698	0.12322	0.06544	0.0767	0.05172	0.011
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae|g__Pectobacterium|s__Pectobacterium_actinidiae|t__SGB10267	0.06991	0.43958	0.15458	0.13627	0.07961	0.01881
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Alkalicoccobacillus|s__Alkalicoccobacillus_plakortidis|t__SGB109761	0.06599	0.05202	0.03919	0.04671	0.01935	0.0
