clade_name	LeonardSR_2015__SRR2177250	LeonardSR_2015__SRR2177251	LeonardSR_2015__SRR2177280	LeonardSR_2015__SRR2177281	LeonardSR_2015__SRR2177282	LeonardSR_2015__SRR2177283	LeonardSR_2015__SRR2177284	LeonardSR_2015__SRR2177285	LeonardSR_2015__SRR2177286	LeonardSR_2015__SRR2177287	LeonardSR_2015__SRR2177288	LeonardSR_2015__SRR2177357	LeonardSR_2015__SRR2177358	LeonardSR_2015__SRR2177359	LeonardSR_2015__SRR2177360	LeonardSR_2015__SRR2177361
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_aquidurense|t__SGB2997	0.34566	0.0	0.0	0.00556	0.0	0.0	1.58472	0.0	0.0	0.0	0.00558	0.0009	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_altitudinis|t__SGB7770	0.33416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_eucalypti|t__SGB10188	0.29215	0.0	0.0091	0.0	0.13177	0.0	0.0	0.42709	0.0	0.0077	0.88544	0.2025	0.31624	0.00565	0.07001	0.00392
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_carnis|t__SGB12127	0.27824	0.17878	0.57962	0.57668	0.0	1.67637	0.73599	0.0	0.0	0.11304	0.09143	0.39615	0.06824	0.04294	0.06437	0.17095
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_piscis|t__SGB2998	0.27781	0.0	0.0	0.04947	0.0	0.0	1.68747	0.0	0.0	0.0	0.08733	0.02165	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_lactis|t__SGB66296	0.26274	0.31407	0.56267	2.34334	0.0	1.68491	0.79966	0.0	0.0	0.28724	0.66607	0.71116	0.3479	2.20803	0.23296	0.65531
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Rahnella|s__Rahnella_inusitata|t__SGB31286	0.23917	0.0	0.0	0.0	0.0	0.0	1.1652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei|t__SGB10133	0.22399	0.0	0.0	0.0	1.02996	0.0	0.0	2.23407	0.39025	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_maltaromaticum|t__SGB7902	0.20093	0.03609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05376	0.06009	0.03449	0.27536	0.07064	0.00436	0.07387
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Janthinobacterium|s__Janthinobacterium_sp_AD80|t__SGB12857	0.19304	0.0	0.0	0.01294	0.0	0.0	1.27748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_brassicacearum|t__SGB12173	0.18991	0.0	0.1977	0.0	0.0	0.0211	0.08175	0.0	0.0	0.0	0.0	0.0	0.0	0.1307	0.0	0.10457
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_albensis|t__SGB10396	0.16491	0.0	0.0	1.18819	0.0	0.0	0.79467	0.0	0.0	0.13641	0.0	0.0	0.0	0.0	0.0	0.0
