clade_name	IndioV_2024__SRR27183618	IndioV_2024__SRR27183619	IndioV_2024__SRR27183620	IndioV_2024__SRR27183621	IndioV_2024__SRR27183622	IndioV_2024__SRR27183623	IndioV_2024__SRR27183624	IndioV_2024__SRR27183625	IndioV_2024__SRR27183626	IndioV_2024__SRR27183629	IndioV_2024__SRR27183630
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gasicomitatum|t__SGB7127	0.0	0.00399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces|s__Candida_glabrata|t__EUK5478	0.0	0.00301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_SGB25032|t__SGB25032	0.0	0.00056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.0	39.86264	37.29464	0.0	3.93666	0.0	0.0	0.0	40.44528	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847_group	0.0	0.0	16.85098	16.78755	0.0	0.0	0.0	0.0	0.0	17.98226	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_sp_NAM3COL9|t__SGB7844	0.0	0.0	5.06915	4.79221	0.0	0.0	0.0	0.0	0.0	5.25824	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_marinum|t__SGB88049	0.0	0.0	3.15836	3.76793	0.0	0.0	0.0	0.0	0.0	3.34907	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_SGB69238|t__SGB69238	0.0	0.0	2.55387	2.90837	0.0	0.0	0.0	0.0	0.0	2.10331	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_durrellii|t__SGB94573	0.0	0.0	1.87317	1.88085	0.0	0.0	0.0	0.0	0.0	1.81573	0.0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_candidus|t__EUK41067	0.0	0.0	1.74068	1.95116	0.0	0.0	0.0	0.0	0.0	1.66061	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_239c|t__SGB16641	0.0	0.0	0.88161	0.98476	0.0	0.0	0.0	0.0	0.0	0.91739	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sandarakinum|t__SGB16640	0.0	0.0	0.27822	0.36345	0.0	0.0	0.0	0.0	0.0	0.31171	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium|s__Carnobacterium_divergens|t__SGB7903	0.0	0.0	0.03728	0.03617	0.0	0.0	0.0	0.0	0.0	0.04898	3.0699
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium|s__Brachybacterium_fresconis|t__SGB100391	0.0	0.0	0.01569	0.01663	0.0	0.0	0.0	0.0	0.0	0.01809	0.0
