dataset_name	sample_id	macrocategory	category	type	subtype	commercial_name	country	sample_accession	run_accession	experiment_accession	study_accession	project_accession	database_origin	library_layout	sequencing_platform	DNA_extraction_kit	collection_date	n_bases	n_reads	min_read_len	median_read_len	mean_read_len	max_read_len	n_contigs	n_MAGs_(HQ+MQ)	n_MAGs_MQ	n_MAGs_HQ	n_MAGs_all	filtered	curator
AlvarezOrdonezA_xxxx	F02-18	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8840343849	60251768	75	151.0	146.72339322889246	151	129191	5	4	1	14		Niccolò Carlino
AlvarezOrdonezA_xxxx	F02-19	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7770410455	52024648	75	151.0	149.36017356619115	151	134695	4	3	1	18		Niccolò Carlino
AlvarezOrdonezA_xxxx	F02-31A	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8110292155	56203093	75	151.0	144.30330649240247	151	163257	0	0	0	4		Niccolò Carlino
AlvarezOrdonezA_xxxx	F02-31B	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7982711548	54684087	75	151.0	145.97869299710536	151	209503	0	0	0	3		Niccolò Carlino
AlvarezOrdonezA_xxxx	F03-16	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7691244298	51595482	75	151.0	149.06817418625917	151	148021	2	1	1	7		Niccolò Carlino
AlvarezOrdonezA_xxxx	F03-17	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7681653842	53843294	75	151.0	142.66686287804012	151	115212	2	2	0	10		Niccolò Carlino
AlvarezOrdonezA_xxxx	F03-18	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8778409334	59124089	75	151.0	148.47432717314257	151	55190	5	3	2	21		Niccolò Carlino
AlvarezOrdonezA_xxxx	F03-19	food	fermented_meat	meat	sausage_after_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7990074349	54306331	75	151.0	147.12970296225683	151	85849	6	6	0	21		Niccolò Carlino
AlvarezOrdonezA_xxxx	F03-31	food	meat	meat_batter	meat_batter		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		8275200388	56537298	75	151.0	146.36710067042821	151	163523	2	1	1	11		Niccolò Carlino
AlvarezOrdonezA_xxxx	F04-16	food	meat	sausage_before_ripening	sausage_before_ripening		ESP							PAIRED	Illumina_NovaSeq_6000	QIAGEN_MASTERWP4_kit		7259229790	48737927	75	151.0	148.9441639567477	151	17779	1	0	1	7		Niccolò Carlino
