mag	dataset_name	sample_id	sgb_id	Unknown	Level of assigned taxonomy	superkingdom	phylum	class	order	family	genus	species	genome_size	# contigs	N50 (contigs)	completeness	contamination	GC	strain_heterogeneity
MASTER_WP4_CSIC_2__P2615__bin.6	MASTER_WP4_CSIC_2	P2615	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2154817	280	10028	91.51041667	3.875	0.4601991724	66.67
DeFilippisF_xxxx__DF_113__bin.8	DeFilippisF_xxxx	DF_113	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2216677	146	22882	99.375	1.875	0.4627440083	100
LeechJ_2020__ERS3967733__bin.7	LeechJ_2020	ERS3967733	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1638934	304	6838	80.97740801	2.394057765	0.4653244121	66.67
XieM_2019__SAMC044639__bin.19	XieM_2019	SAMC044639	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2159753	104	35635	94.0625	0	0.4628408897	0
DeFilippisF_xxxx__DS_68__bin.3	DeFilippisF_xxxx	DS_68	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2248722	193	18339	82.27281746	1.895833333	0.4605691588	33.33
DeFilippisF_xxxx__DF_39__bin.1	DeFilippisF_xxxx	DF_39	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1777225	428	4663	51.01880878	0	0.4572960655	0
MASTER_WP4_CSIC_1__P2243_73323__bin.14	MASTER_WP4_CSIC_1	P2243_73323	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1984090	376	6200	92.36945346	2.989583333	0.4653473381	85.71
MASTER_WP4_CSIC_2__P2549__bin.6	MASTER_WP4_CSIC_2	P2549	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1571119	379	4690	75.3307799	1.927083333	0.4667692263	33.33
EscobarZepedaA_2016__SRS974112__bin.30	EscobarZepedaA_2016	SRS974112	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2006407	147	18731	96.5625	0.2083333333	0.4645189137	50
LeechJ_2020__ERS3967735__bin.13	LeechJ_2020	ERS3967735	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1513556	65	57287	90.625	0	0.4614001728	0
LeechJ_2020__ERS3967736__bin.3	LeechJ_2020	ERS3967736	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2237627	227	16057	97.421875	1.261160714	0.4621297473	80
PatroJN_2016__SRS1044735__bin.23	PatroJN_2016	SRS1044735	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1955927	92	30648	90.21267361	0.6770833333	0.4632243432	0
MASTER_WP4_CSIC_1__P2245_73323__bin.24	MASTER_WP4_CSIC_1	P2245_73323	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2348633	384	7757	96.77083333	2.291666667	0.4612955707	87.5
MASTER_WP4_UNINA_1__AS001_71775__bin.20	MASTER_WP4_UNINA_1	AS001_71775	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2161978	124	30225	98.125	0	0.4596401999	0
MASTER_WP4_FFoQSI_1__DC18-F-AR__bin.4	MASTER_WP4_FFoQSI_1	DC18-F-AR	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1690974	33	64486	64.6875	0	0.462460097	0
MASTER_WP4_FFoQSI_1__DC18-F-BR__bin.12	MASTER_WP4_FFoQSI_1	DC18-F-BR	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1885334	34	69662	78.4375	0	0.462000367	0
MASTER_WP4_TEAGASC_1__TGS06-29__bin.7	MASTER_WP4_TEAGASC_1	TGS06-29	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1676850	290	6569	60.68965517	0	0.465053523	0
MASTER_WP4_TEAGASC_1__TGS10-28__bin.1	MASTER_WP4_TEAGASC_1	TGS10-28	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1981281	215	11218	83.71577381	0	0.4635919892	0
MASTER_WP4_TEAGASC_1__TGS10-30__bin.9	MASTER_WP4_TEAGASC_1	TGS10-30	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1455929	344	4733	65.70014881	0	0.4660014328	0
MASTER_WP4_CSIC_2__P2555__bin.11	MASTER_WP4_CSIC_2	P2555	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2227960	329	9176	90.41666667	2.855902778	0.4610051347	41.67
MASTER_WP4_CSIC_2__P2557__bin.8	MASTER_WP4_CSIC_2	P2557	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2117229	203	16848	93.76171875	0.5729166667	0.4631978874	33.33
MASTER_WP4_CSIC_2__P2566__bin.1	MASTER_WP4_CSIC_2	P2566	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	1649546	243	8876	89.6875	2.777777778	0.4618719332	0
MASTER_WP4_CSIC_2__P2568__bin.6	MASTER_WP4_CSIC_2	P2568	SGB7196	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus_brevis	2161437	103	27858	93.54166667	0.7291666667	0.4623363993	100
