clade_name	GianvitoDP_2025__SRR31346740	GianvitoDP_2025__SRR31346739	GianvitoDP_2025__SRR31346742	GianvitoDP_2025__SRR31346743	GianvitoDP_2025__SRR31346744	GianvitoDP_2025__SRR31346745	GianvitoDP_2025__SRR31346746	GianvitoDP_2025__SRR31346747	GianvitoDP_2025__SRR31346748	GianvitoDP_2025__SRR31346749
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified|g__Hyphomicrobiales_unclassified|s__Hyphomicrobiales_bacterium|t__SGB11097	0.0261	0.21582	0.26059	0.58939	0.2574	0.54575	0.12134	0.09438	0.20189	0.63712
k__Bacteria|p__Acidobacteriota|c__CFGB72794|o__OFGB72794|f__FGB72794|g__GGB89632|s__GGB89632_SGB125949|t__SGB125949	0.02134	0.01729	0.03678	0.03075	0.01926	0.02988	0.11647	0.0	0.02412	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_cavernae|t__SGB87669	0.01495	0.00824	0.00864	0.0225	0.00317	0.01792	0.0	0.0	0.02152	0.0
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Adhaeribacter|s__Adhaeribacter_rhizoryzae|t__SGB84665	0.01276	0.0	0.0	0.02117	0.00735	0.0	0.0	0.0	0.00119	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae|g__Spirilliplanes|s__Spirilliplanes_yamanashiensis|t__SGB93359	0.01203	0.0	0.0	0.0	0.00538	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.0	4.30639	0.40583	1.0417	0.00196	1.46019	0.51029	0.31467	0.48187	1.63895
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium|s__Bradyrhizobium_SGB11337|t__SGB11337	0.0	2.1535	0.0	0.0	0.0	0.05815	0.0	0.0	0.05533	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pollutisoli|t__SGB17086	0.0	1.27755	0.24426	0.02763	0.0	2.44488	0.0	0.0	0.0677	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter|s__Rathayibacter_festucae|t__SGB34992	0.0	1.19102	0.0769	0.57232	1.14091	0.04135	0.09077	0.22069	0.05092	0.00824
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Frigoribacterium|s__Frigoribacterium_sp_PhB160|t__SGB34975	0.0	1.08448	0.18617	0.0	0.13719	0.07071	0.0	0.51097	0.25511	0.1878
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Frigoribacterium|s__Frigoribacterium_sp_CFBP_13729|t__SGB34974	0.0	1.08423	0.19015	0.11483	0.69333	1.14427	0.0	0.49775	0.43046	0.44851
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Frigoribacterium|s__Frigoribacterium_faeni|t__SGB87847	0.0	0.92291	0.10304	0.21566	0.90997	0.2323	0.0	0.0	0.03094	0.27755
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus|s__Paracoccus_yeei|t__SGB10717	0.0	0.92105	0.0	0.09372	0.0	0.03901	0.0504	0.0	0.0	0.2929
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB61358|t__SGB61358	0.0	0.84274	0.08729	0.0	0.0	1.38128	0.0	0.0	0.03593	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp_CFBP_13711|t__SGB89145	0.0	0.82927	0.0	0.0	0.0	0.23212	0.0	0.0	0.0	0.05376
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB61357|t__SGB61357	0.0	0.71966	0.11446	0.01484	0.0051	1.22746	0.0	0.0	0.04146	0.00191
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter|s__Rathayibacter_sp_AY1A1|t__SGB23914	0.0	0.70542	0.14772	0.05467	1.526	0.37107	0.07045	0.10969	0.03352	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_baltica|t__SGB110484	0.0	0.67707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Frigoribacterium|s__Frigoribacterium_endophyticum|t__SGB16817	0.0	0.67138	0.03273	0.07147	0.55389	2.07804	1.89646	0.23628	0.1566	0.10942
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia|s__Erwinia_billingiae|t__SGB10198	0.0	0.63057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp_WL2|t__SGB89775	0.0	0.59327	0.07429	4.72357	0.14097	0.0	0.42964	0.0	0.0	0.34947
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcoides|s__Rhodococcoides_fascians|t__SGB15814	0.0	0.55652	0.22231	0.0	0.0	0.15747	0.0	0.0	0.06772	0.0
