sample	LandisEA_2021__SRS5652903	LandisEA_2021__SRS5652913	LandisEA_2021__SRS5652926	LandisEA_2021__SRS5652931	LandisEA_2021__SRS5652933	LandisEA_2021__SRS5652970	LandisEA_2021__SRS5652972	LandisEA_2021__SRS5652990	LandisEA_2021__SRS5652995	LandisEA_2021__SRS5653013	LandisEA_2021__SRS5653047	LandisEA_2021__SRS5653049	LandisEA_2021__SRS5653081	LandisEA_2021__SRS5653094	LandisEA_2021__SRS5653126	LandisEA_2021__SRS5653128	LandisEA_2021__SRS5653132	LandisEA_2021__SRS5653137	LandisEA_2021__SRS5653152	LandisEA_2021__SRS5653155	LandisEA_2021__SRS5653156	LandisEA_2021__SRS5653168	LandisEA_2021__SRS5653198	LandisEA_2021__SRS5653199	LandisEA_2021__SRS5653217	LandisEA_2021__SRS5653219	LandisEA_2021__SRS5653248	LandisEA_2021__SRS5653250	LandisEA_2021__SRS5653255	LandisEA_2021__SRS5653276	LandisEA_2021__SRS5653283	LandisEA_2021__SRS5653318	LandisEA_2021__SRS5653333	LandisEA_2021__SRS5653346	LandisEA_2021__SRS5653374	LandisEA_2021__SRS5653388	LandisEA_2021__SRS5653391	LandisEA_2021__SRS5653393	LandisEA_2021__SRS5653396	LandisEA_2021__SRS5653399
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_cerevisiae|t__SGB1200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11336	0.0	52.44635	0.0	0.0	0.013	0.0	0.0	0.0	0.0	2.61727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum|t__SGB1202	12.4293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40451	0.0	0.0	0.0	0.06209	0.86366	0.0	0.0	0.0	0.0	0.0	0.0	23.76674	0.0	9.69876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.75629
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_malorum|t__SGB1201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41327	0.0	0.0	0.01491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.22962	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_fermentans|t__EUK53655	0.0	0.0	0.0	0.0	0.0	0.23768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia|s__Pichia_membranifaciens_group_2|t__EUK4926_2	0.0	0.09038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_pingfangensis|t__SGB49077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.56072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_xiangfangensis|t__SGB7204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.61514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48928	0.0	0.22458	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_parabrevis|t__SGB7193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.91809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_heilongjiangensis|t__SGB153120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.21455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63792	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_daoliensis|t__SGB49075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07781	0.0	0.00151	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus|s__Fructilactobacillus_sanfranciscensis|t__SGB7164	0.0	0.0	0.0	0.0	0.0	0.08772	0.0	0.0	38.50452	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66903	5.13257	0.0	0.0	13.18686	0.0	0.0	99.88954	69.35183	99.95661	0.0	99.87466	0.0	0.0	0.0	0.0	0.50188	0.0	1.00788	0.0	36.06165	56.87689
