clade_name	LiYM_2020__ERR3427609	LiYM_2020__ERR3427610	LiYM_2020__ERR3427611	LiYM_2020__ERR3427612	LiYM_2020__ERR3427613	LiYM_2020__ERR3427614	LiYM_2020__ERR3427615	LiYM_2020__ERR3427616	LiYM_2020__ERR3427617	LiYM_2020__ERR3427618	LiYM_2020__ERR3427619	LiYM_2020__ERR3427620	LiYM_2020__ERR3427621	LiYM_2020__ERR3427622	LiYM_2020__ERR3427623	LiYM_2020__ERR3427624	LiYM_2020__ERR3427626	LiYM_2020__ERR3427625
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	1.56821	5.23139	0.11579	0.0	0.0	0.0	0.0	0.01027	16.15076	1.90595	0.05528	0.51748	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei|t__SGB10133	0.0	0.0	1.11078	0.0	0.01868	0.0	0.0	0.0	0.0	0.43677	0.42468	0.05636	0.0	0.0	0.06167	0.0	0.13738	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus|s__Mammaliicoccus_sciuri|t__SGB7818	0.0	0.0	0.86456	0.0	0.07708	0.0	0.55565	0.0	0.0	0.01251	0.0867	0.01135	0.07914	0.0	0.0	0.478	0.10028	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115_group	0.0	0.0	0.79334	0.0	0.0	0.0	0.0	0.0	0.03214	0.01555	0.73233	0.48376	0.0	0.0	0.16223	0.06993	18.73175	1.70812
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Pseudocitrobacter|s__Pseudocitrobacter_vendiensis|t__SGB81754	0.0	0.0	0.28095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_ascorbata|t__SGB10107	0.0	0.0	0.21073	0.0	0.0	0.0	0.0	0.0	0.0	0.25831	0.02479	0.02697	0.0	0.0	0.06848	0.0	0.10677	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.0	0.18147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49942	0.00201	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas|s__Epilithonimonas_hominis|t__SGB2549	0.0	0.0	0.17834	0.0	10.37031	0.0	0.0	0.0	0.0031	0.04464	0.86435	0.15859	0.0	0.0	0.43701	0.0	0.55047	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_algae|t__SGB10333	0.0	0.0	0.13885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_saprophyticus|t__SGB7848	0.0	0.0	0.11767	0.0	0.4239	0.0	0.0	0.0	0.0158	0.0	0.00101	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae|g__Psychromonas|s__Psychromonas_sp_SA13A|t__SGB81642	0.0	0.0	0.09321	0.0	0.0	0.0	0.0	0.02544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_iliopiscarium|t__SGB9825	0.0	0.0	0.08408	0.0	1.00295	9.43909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_mirabilis|t__SGB9992	0.0	0.0	0.07865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae|t__SGB10112	0.0	0.0	0.06761	0.0	0.0	0.0	0.0	0.0	0.0	0.01086	0.11223	0.062	0.0	0.0	0.02575	0.0	0.11124	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_lactis|t__SGB7121	0.0	0.0	0.06054	0.0	0.15406	0.0	0.0	0.0	0.0	0.79292	35.50637	5.98922	0.01229	15.80178	4.36575	0.0	1.53106	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis|t__SGB29821_group	0.0	0.0	0.05734	0.0	0.0	0.0	0.0	0.0	0.01313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_endophytica|t__SGB98453	0.0	0.0	0.05473	0.0	0.0	0.0	3.33175	0.0	0.11214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_dysgalactiae|t__SGB8219	0.0	0.0	0.04922	0.0	0.0	0.0	0.0	0.0	0.01151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii|t__SGB7041	0.0	0.0	0.03829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_caviae|t__SGB9955	0.0	0.0	0.03675	0.0	0.32754	0.0	0.0	0.0	0.01843	5.19445	0.04312	0.03763	0.03877	0.0	0.19391	0.0	0.22317	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae|t__SGB8216	0.0	0.0	0.03548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
