sample	MotaGutierrezJ_2021__SRR11602138	MotaGutierrezJ_2021__SRR11602139	MotaGutierrezJ_2021__SRR11602140	MotaGutierrezJ_2021__SRR11602141	MotaGutierrezJ_2021__SRR11602142	MotaGutierrezJ_2021__SRR11602143	MotaGutierrezJ_2021__SRR11602144	MotaGutierrezJ_2021__SRR11602145	MotaGutierrezJ_2021__SRR11602146	MotaGutierrezJ_2021__SRR11602147	MotaGutierrezJ_2021__SRR11602148	MotaGutierrezJ_2021__SRR11602149	MotaGutierrezJ_2021__SRR11602150	MotaGutierrezJ_2021__SRR11602151	MotaGutierrezJ_2021__SRR11602152	MotaGutierrezJ_2021__SRR11602153	MotaGutierrezJ_2021__SRR11602154	MotaGutierrezJ_2021__SRR11602155	MotaGutierrezJ_2021__SRR11602156	MotaGutierrezJ_2021__SRR11602157
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food	food
category	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds	fermented_seeds
type	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans	cocoa_beans
subtype	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass	cocoa_pulp_bean_mass
country	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX	MEX
source	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_halotolerans|t__SGB29946	0.01193	0.00561	0.0	0.0001	0.001	0.0	0.0	0.03433	0.00262	0.0	0.0	0.0	0.0	0.0	0.0	0.02025	0.0	0.0	0.0	0.00686
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_pentosus|t__SGB7200	0.01114	0.0	0.0	0.04862	0.0	0.0	0.0	0.01118	0.0	0.06993	0.00069	0.00069	0.0	0.00093	0.0	0.0005	0.0	0.05008	0.00168	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas|s__Xanthomonas_massiliensis|t__SGB32973	0.01067	0.0	0.0	0.00219	0.00058	0.0	0.00044	0.0	0.00074	0.00561	0.0	0.00273	0.0	0.0	0.00029	0.0	0.0	0.00647	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_thalpophilum|t__SGB28240	0.00915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00267	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Caldibacillus|s__Caldibacillus_thermoamylovorans|t__SGB7728	0.00857	0.01644	0.0	0.0	0.0	0.0	0.0	0.78896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	5e-05	0.01999
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Heyndrickxia|s__Heyndrickxia_sporothermodurans|t__SGB7733	0.00748	0.00586	0.0	0.0	0.0	0.0	0.0	0.26572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17969	0.0	0.0	0.00123	0.00865
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB69408	0.0066	0.05835	0.7554	0.15849	1.17025	0.54492	1.12394	0.0	0.0	0.13206	0.77238	0.67925	0.64074	0.18627	0.79562	0.0	0.69057	0.04064	0.0	0.01201
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Niallia|s__Niallia_circulans|t__SGB7550	0.00636	0.00682	0.0	0.0	0.0	0.00121	0.0	0.14874	0.0	0.00159	0.0	0.0	0.0	0.0	0.0	0.07888	0.0	0.0	0.00718	0.00531
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_An31A|t__SGB2304	0.00559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_neomassiliense|t__SGB23975	0.0052	0.0	0.0008	0.00437	0.00151	0.00941	0.00466	0.00433	0.0	0.01212	0.0	0.00394	0.00033	0.00093	0.01266	0.00063	0.00149	0.00662	0.0	0.0
