	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016	LeonardSR_2016
sample	LeonardSR_2016__SRS1659769	LeonardSR_2016__SRS1659770	LeonardSR_2016__SRS1659771	LeonardSR_2016__SRS1659772	LeonardSR_2016__SRS1659773	LeonardSR_2016__SRS1659774	LeonardSR_2016__SRS1659775	LeonardSR_2016__SRS1659776	LeonardSR_2016__SRS1659777	LeonardSR_2016__SRS1659778	LeonardSR_2016__SRS1659779	LeonardSR_2016__SRS1659780
macrocategory	food	food	food	food	food	food	food	food	food	food	food	food
category	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables	fruits_and_vegetables
type	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach	spinach
subtype	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec	spinach_spiked_with_stec
country	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
source	public	public	public	public	public	public	public	public	public	public	public	public
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_ludwigii|t__SGB10127	0.12372	0.58903	1.34632	1.26179	1.55682	1.93128	1.44383	1.06885	0.64125	6.95941	1.54947	5.48058
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Siccibacter|s__Siccibacter_turicensis|t__SGB23238	2.86391	1.04888	1.9984	3.70818	2.35073	1.03774	3.36172	4.60347	5.24417	12.27011	13.13384	3.35776
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_indicum|t__SGB8326_group	0.00254	0.0	0.06869	0.0	0.02944	0.05275	0.0	0.0	0.10259	0.0	0.0	0.00312
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_ananatis|t__SGB10194	0.0	0.0	0.0	0.0	0.00726	0.02839	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_faecium|t__SGB3147	0.0	0.0	0.0	0.0	0.04077	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_braakii|t__SGB10086	0.0	3.28245	0.05535	0.01298	0.11166	0.0	0.0	0.0	0.10236	2.40546	0.0	0.12884
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Huaxiibacter|s__Huaxiibacter_chinensis|t__SGB10146	0.0	0.0	0.0	0.0	0.05053	0.08563	0.01438	0.1833	0.05434	0.83523	0.08335	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii|t__SGB10083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02439
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_xiamenensis|t__SGB10315	0.0	0.0	0.02581	0.0	0.01287	0.02856	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Erwinia|s__Erwinia_persicina|t__SGB31225	0.02181	0.00504	0.03682	0.08725	0.15762	0.13729	0.03745	0.09973	0.10186	0.03122	0.10618	0.08282
