clade_name	BuzzancaD_2024__SRR30684823	BuzzancaD_2024__SRR30684824	BuzzancaD_2024__SRR30684825	BuzzancaD_2024__SRR30684827	BuzzancaD_2024__SRR30684826	BuzzancaD_2024__SRR30684828	BuzzancaD_2024__SRR30684829	BuzzancaD_2024__SRR30684830	BuzzancaD_2024__SRR30684831	BuzzancaD_2024__SRR30684832	BuzzancaD_2024__SRR30684833	BuzzancaD_2024__SRR30684834	BuzzancaD_2024__SRR30684835	BuzzancaD_2024__SRR30684836	BuzzancaD_2024__SRR30684837	BuzzancaD_2024__SRR30684838	BuzzancaD_2024__SRR30684839	BuzzancaD_2024__SRR30684840	BuzzancaD_2024__SRR30684841	BuzzancaD_2024__SRR30684842	BuzzancaD_2024__SRR30684843	BuzzancaD_2024__SRR30684844	BuzzancaD_2024__SRR30684845	BuzzancaD_2024__SRR30684846	BuzzancaD_2024__SRR30684847	BuzzancaD_2024__SRR30684848	BuzzancaD_2024__SRR30684849	BuzzancaD_2024__SRR30684850	BuzzancaD_2024__SRR30684851	BuzzancaD_2024__SRR30684852	BuzzancaD_2024__SRR30684853	BuzzancaD_2024__SRR30684854	BuzzancaD_2024__SRR30684855	BuzzancaD_2024__SRR30684856	BuzzancaD_2024__SRR30684857	BuzzancaD_2024__SRR30684858	BuzzancaD_2024__SRR30684859	BuzzancaD_2024__SRR30684860	BuzzancaD_2024__SRR30684861
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_shahriarae|t__SGB12163	0.0	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00336	0.00325	0.00317	0.04957	0.00205	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia_rustigianii|t__SGB10004	0.0	0.00143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii|t__SGB10083	0.0	0.0	18.12078	0.0	0.0	0.0	0.03539	0.0	0.0	0.02211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_paraplantarum|t__SGB7201	0.0	0.0	0.20941	0.0	0.0	0.0	0.00784	0.0	0.0	0.0	0.28459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.01037	0.0	0.0	0.0	0.0	0.0	0.0	0.01907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196	0.0	0.0	0.1775	0.0162	0.0	0.0021	0.01493	0.0	0.0	0.0	0.82301	0.0327	0.39401	0.0	0.0	0.0	0.0	0.0	0.00051	0.0	0.01575	0.0	0.0	0.0	0.0	0.0	0.0	0.14143	0.05115	0.0	0.05801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_falkenbergense|t__SGB7124	0.0	0.0	0.03637	0.0	5.56549	0.05842	0.01439	0.0	0.82699	0.0	0.0	0.07155	0.04438	0.24836	0.0	0.72451	0.0	1.09938	0.0	0.02216	0.0	0.1174	0.0	0.0	0.0	8.69248	0.0	0.0	0.12386	0.0	0.59625	4.88053	0.0	0.00016	1.60954	0.12028	1.1791	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_caprae|t__SGB7862	0.0	0.0	0.00582	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.0	0.00857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	0.0	0.0	0.00497	0.2217	0.0	0.01717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_fabryi|t__EUK58627	0.0	0.0	0.00313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_parvus|t__SGB10366	0.0	0.0	0.0	0.10174	0.0	0.0	0.2544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0079	0.0	0.0	0.36284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
